Timestamp,Symbol ,From52wh ,3d range ,5d ,Sector ,Industry ,Free float 
2026-02-05T16:49:39.224,UEL,0.216,18.2,27.32,power & utilities,power generation and supply,525.41
2026-02-05T16:49:39.224,COASTCORP,0.283,10.22,20.59,fmcg,aquaculture,204.75
2026-02-05T16:49:39.224,SBC,1.3,7.19,26.53,textiles,textiles - products,716.61
2026-02-05T16:49:39.224,BAJAJCON,1.7,8.35,20.5,fmcg,personal care - indian,2943.34
2026-02-05T16:49:39.224,INDSWFTLAB,2.13,15.56,17.48,healthcare,pharmaceuticals - indian - bulk drugs & formln,603.09
2026-02-05T16:49:39.224,JKTYRE,3.5,5.29,11.55,auto,tyres,7460.47
2026-02-05T16:49:39.224,CANFINHOME,3.51,4.3,10.09,financials,finance - housing,8738.8
2026-02-05T16:49:39.224,SHARDACROP,3.62,10.14,22.83,chemicals,pesticides / agrochemicals - indian,2628.32
2026-02-05T16:49:39.224,GNA,3.64,10.3,26.0,auto,auto ancillaries,552.37
2026-02-05T16:49:39.224,MINDACORP,3.98,6.78,12.01,auto,auto ancillaries,5003.84
2026-02-05T16:49:39.224,SJS,4.4,7.39,12.58,auto,plastics products,4499.45
2026-02-05T16:49:39.224,CRAFTSMAN,4.51,9.22,16.1,auto,auto ancillaries,9605.27
2026-02-05T16:49:39.224,PFOCUS,4.68,17.93,29.26,realty,miscellaneous,8140.59
2026-02-05T16:49:39.224,TDPOWERSYS,4.75,6.68,22.2,industrials,electric equipment,9248.56
2026-02-05T16:49:39.224,MTARTECH,4.8,12.38,25.11,aerospace & defence,engineering,7009.82
2026-02-05T16:49:39.224,SEAMECLTD,4.94,10.42,10.42,miscellaneous,miscellaneous,873.65
2026-02-05T16:49:39.224,ANURAS,5.0,7.27,8.59,chemicals,chemicals,6085.81
2026-02-05T16:49:39.224,ATALREAL,5.41,7.15,7.68,realty,construction,205.95
2026-02-05T16:49:39.224,SYRMA,5.42,7.67,20.09,consumer discretionary,electronics - components,9505.45
2026-02-05T16:49:39.224,NARMADA,5.49,19.04,24.93,fmcg,miscellaneous,59.4
2026-02-05T16:49:39.224,RRKABEL,5.66,6.89,13.95,industrials,cables - power,6392.14
2026-02-05T16:49:39.224,AETHER,5.68,9.33,11.37,chemicals,chemicals,3388.23
2026-02-05T16:49:39.224,3MINDIA,5.7,4.22,7.25,miscellaneous,diversified - large,9907.63
2026-02-05T16:49:39.224,PGIL,5.79,13.28,29.36,consumer discretionary,textiles - products,3354.44
2026-02-05T16:49:39.224,SENORES,6.06,2.96,7.8,healthcare,pharmaceuticals - indian - formulations,2055.14
2026-02-05T16:49:39.224,LGBBROSLTD,6.23,10.66,18.77,auto,bearings,3849.91
2026-02-05T16:49:39.224,DCBBANK,6.27,5.32,13.31,bank,banks - private sector,5145.03
2026-02-05T16:49:39.224,RPTECH,6.29,15.02,17.92,services,trading,909.2
2026-02-05T16:49:39.224,EMCURE,6.49,5.92,6.7,healthcare,pharmaceuticals - indian - bulk drugs & formln,6219.09
2026-02-05T16:49:39.224,SAKAR,6.51,19.54,24.98,healthcare,pharmaceuticals - indian - bulk drugs & formln,456.0
2026-02-05T16:49:39.224,CANTABIL,6.6,7.07,11.34,textiles,textiles - products,672.9
2026-02-05T16:49:39.224,ABINFRA,6.71,16.94,18.52,realty,construction,925.89
2026-02-05T16:49:39.224,FIEMIND,6.71,8.5,12.39,auto,auto ancillaries,2730.54
2026-02-05T16:49:39.224,AUTOAXLES,6.86,9.53,15.26,auto,auto ancillaries,862.22
2026-02-05T16:49:39.224,INDIACEM,6.87,5.91,11.2,building materials,cement - south india,3505.6
2026-02-05T16:49:39.224,ASIANTILES,7.41,9.57,13.86,building materials,ceramics - tiles / sanitaryware,1125.83
2026-02-05T16:49:39.224,VSTTILLERS,7.44,8.32,13.82,auto,automobiles - tractors,2263.69
2026-02-05T16:49:39.224,MBAPL,7.54,5.94,8.21,chemicals,fertilizers,960.66
2026-02-05T16:49:39.224,CCL,7.86,11.64,13.0,fmcg,tea,7123.85
2026-02-05T16:49:39.224,WELSPUNLIV,8.13,11.08,27.66,textiles,textiles - products,4598.34
